Year,Country ,Continent,Sub Continent,Date,Arrivals 
2018,BANGLADESH,Asia,South Asia,2018/05/31,729
2018,BANGLADESH,Asia,South Asia,2018/06/30,"1,030"
2018,BANGLADESH,Asia,South Asia,2018/07/31,857
2018,BANGLADESH,Asia,South Asia,2018/08/31,"1,060"
2018,BANGLADESH,Asia,South Asia,2018/09/30,771
2018,BANGLADESH,Asia,South Asia,2018/10/31,894
2018,BANGLADESH,Asia,South Asia,2018/11/30,736
2018,BANGLADESH,Asia,South Asia,2018/12/31,"1,019"
2018,BARBADOS,North America,Caribbean,2018/01/31,4
2018,BARBADOS,North America,Caribbean,2018/02/28,2
2018,BARBADOS,North America,Caribbean,2018/03/31,3
2018,BARBADOS,North America,Caribbean,2018/04/30,3
2018,BARBADOS,North America,Caribbean,2018/05/31,3
2018,BARBADOS,North America,Caribbean,2018/06/30,0
2018,BARBADOS,North America,Caribbean,2018/07/31,0
2018,BARBADOS,North America,Caribbean,2018/08/31,1
2018,BARBADOS,North America,Caribbean,2018/09/30,0
2018,BARBADOS,North America,Caribbean,2018/10/31,2
2018,BARBADOS,North America,Caribbean,2018/11/30,0
2018,BARBADOS,North America,Caribbean,2018/12/31,0
2018,BELARUS,Europe,Eastern Europe,2018/01/31,802
2018,BELARUS,Europe,Eastern Europe,2018/02/28,942
2018,BELARUS,Europe,Eastern Europe,2018/03/31,666
2018,BELARUS,Europe,Eastern Europe,2018/04/30,286
2018,BELARUS,Europe,Eastern Europe,2018/05/31,128
2018,BELARUS,Europe,Eastern Europe,2018/06/30,122
2018,BELARUS,Europe,Eastern Europe,2018/07/31,71
2018,BELARUS,Europe,Eastern Europe,2018/08/31,96
2018,BELARUS,Europe,Eastern Europe,2018/09/30,174
2018,BELARUS,Europe,Eastern Europe,2018/10/31,256
2018,BELARUS,Europe,Eastern Europe,2018/11/30,500
2018,BELARUS,Europe,Eastern Europe,2018/12/31,578
2018,BELGIUM,Europe,Western Europe,2018/01/31,"1,275"
2018,BELGIUM,Europe,Western Europe,2018/02/28,"1,449"
2018,BELGIUM,Europe,Western Europe,2018/03/31,"1,666"
2018,BELGIUM,Europe,Western Europe,2018/04/30,"1,211"
2018,BELGIUM,Europe,Western Europe,2018/05/31,494
2018,BELGIUM,Europe,Western Europe,2018/06/30,785
2018,BELGIUM,Europe,Western Europe,2018/07/31,"3,681"
2018,BELGIUM,Europe,Western Europe,2018/08/31,"1,994"
2018,BELGIUM,Europe,Western Europe,2018/09/30,"1,384"
2018,BELGIUM,Europe,Western Europe,2018/10/31,816
2018,BELGIUM,Europe,Western Europe,2018/11/30,"1,045"
2018,BELGIUM,Europe,Western Europe,2018/12/31,"1,719"
2018,BELIZE,North America,Central America,2018/01/31,2
2018,BELIZE,North America,Central America,2018/02/28,1
2018,BELIZE,North America,Central America,2018/03/31,1
2018,BELIZE,North America,Central America,2018/04/30,2
2018,BELIZE,North America,Central America,2018/05/31,0
2018,BELIZE,North America,Central America,2018/06/30,0
2018,BELIZE,North America,Central America,2018/07/31,1
2018,BELIZE,North America,Central America,2018/08/31,1
2018,BELIZE,North America,Central America,2018/09/30,0
2018,BELIZE,North America,Central America,2018/10/31,6
2018,BELIZE,North America,Central America,2018/11/30,0
2018,BELIZE,North America,Central America,2018/12/31,2
2018,BENIN,Africa,West Africa,2018/01/31,1
2018,BENIN,Africa,West Africa,2018/02/28,0
2018,BENIN,Africa,West Africa,2018/03/31,0
2018,BENIN,Africa,West Africa,2018/04/30,0
2018,BENIN,Africa,West Africa,2018/05/31,0
2018,BENIN,Africa,West Africa,2018/06/30,0
2018,BENIN,Africa,West Africa,2018/07/31,1
2018,BENIN,Africa,West Africa,2018/08/31,1
2018,BENIN,Africa,West Africa,2018/09/30,2
2018,BENIN,Africa,West Africa,2018/10/31,1
2018,BENIN,Africa,West Africa,2018/11/30,1
2018,BENIN,Africa,West Africa,2018/12/31,4
2018,BHUTAN,Asia,South Asia,2018/01/31,110
2018,BHUTAN,Asia,South Asia,2018/02/28,72
2018,BHUTAN,Asia,South Asia,2018/03/31,37
2018,BHUTAN,Asia,South Asia,2018/04/30,42
2018,BHUTAN,Asia,South Asia,2018/05/31,30
2018,BHUTAN,Asia,South Asia,2018/06/30,41
2018,BHUTAN,Asia,South Asia,2018/07/31,49
2018,BHUTAN,Asia,South Asia,2018/08/31,48
2018,BHUTAN,Asia,South Asia,2018/09/30,38
2018,BHUTAN,Asia,South Asia,2018/10/31,29
2018,BHUTAN,Asia,South Asia,2018/11/30,47
2018,BHUTAN,Asia,South Asia,2018/12/31,136
2018,BOLIVIA,South America,Southern South America,2018/01/31,6
2018,BOLIVIA,South America,Southern South America,2018/02/28,5
2018,BOLIVIA,South America,Southern South America,2018/03/31,17
2018,BOLIVIA,South America,Southern South America,2018/04/30,9
2018,BOLIVIA,South America,Southern South America,2018/05/31,2
2018,BOLIVIA,South America,Southern South America,2018/06/30,8
2018,BOLIVIA,South America,Southern South America,2018/07/31,4
2018,BOLIVIA,South America,Southern South America,2018/08/31,9
2018,BOLIVIA,South America,Southern South America,2018/09/30,6
2018,BOLIVIA,South America,Southern South America,2018/10/31,4
2018,BOLIVIA,South America,Southern South America,2018/11/30,5
2018,BOLIVIA,South America,Southern South America,2018/12/31,6
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/01/31,20
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/02/28,45
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/03/31,25
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/04/30,18
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/05/31,8
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/06/30,16
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/07/31,15
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/08/31,9
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/09/30,13
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/10/31,19
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/11/30,30
2018,BOSNIA & HERZEGOVINA,Europe,Southern Europe,2018/12/31,43
2018,BOTSWANA,Africa,Southern Africa,2018/01/31,9
2018,BOTSWANA,Africa,Southern Africa,2018/02/28,4
2018,BOTSWANA,Africa,Southern Africa,2018/03/31,4
2018,BOTSWANA,Africa,Southern Africa,2018/04/30,4
2018,BOTSWANA,Africa,Southern Africa,2018/05/31,0
2018,BOTSWANA,Africa,Southern Africa,2018/06/30,3
2018,BOTSWANA,Africa,Southern Africa,2018/07/31,4
2018,BOTSWANA,Africa,Southern Africa,2018/08/31,5
2018,BOTSWANA,Africa,Southern Africa,2018/09/30,1
2018,BOTSWANA,Africa,Southern Africa,2018/10/31,0
2018,BOTSWANA,Africa,Southern Africa,2018/11/30,1
2018,BOTSWANA,Africa,Southern Africa,2018/12/31,13
2018,BRAZIL,South America,Southern South America,2018/01/31,226
2018,BRAZIL,South America,Southern South America,2018/02/28,156
2018,BRAZIL,South America,Southern South America,2018/03/31,357
2018,BRAZIL,South America,Southern South America,2018/04/30,786
2018,BRAZIL,South America,Southern South America,2018/05/31,124
2018,BRAZIL,South America,Southern South America,2018/06/30,116
2018,BRAZIL,South America,Southern South America,2018/07/31,117
2018,BRAZIL,South America,Southern South America,2018/08/31,98
2018,BRAZIL,South America,Southern South America,2018/09/30,102
2018,BRAZIL,South America,Southern South America,2018/10/31,125
2018,BRAZIL,South America,Southern South America,2018/11/30,298
2018,BRAZIL,South America,Southern South America,2018/12/31,269
2018,BRUNEI,Asia,Southeast Asia,2018/01/31,4
2018,BRUNEI,Asia,Southeast Asia,2018/02/28,3
2018,BRUNEI,Asia,Southeast Asia,2018/03/31,17
2018,BRUNEI,Asia,Southeast Asia,2018/04/30,6
2018,BRUNEI,Asia,Southeast Asia,2018/05/31,6
2018,BRUNEI,Asia,Southeast Asia,2018/06/30,5
2018,BRUNEI,Asia,Southeast Asia,2018/07/31,13
2018,BRUNEI,Asia,Southeast Asia,2018/08/31,10
2018,BRUNEI,Asia,Southeast Asia,2018/09/30,4
2018,BRUNEI,Asia,Southeast Asia,2018/10/31,7
2018,BRUNEI,Asia,Southeast Asia,2018/11/30,5
2018,BRUNEI,Asia,Southeast Asia,2018/12/31,11
2018,BULGARIA,Europe,Eastern Europe,2018/01/31,277
2018,BULGARIA,Europe,Eastern Europe,2018/02/28,381
2018,BULGARIA,Europe,Eastern Europe,2018/03/31,352
2018,BULGARIA,Europe,Eastern Europe,2018/04/30,218
2018,BULGARIA,Europe,Eastern Europe,2018/05/31,87
2018,BULGARIA,Europe,Eastern Europe,2018/06/30,85
2018,BULGARIA,Europe,Eastern Europe,2018/07/31,110
2018,BULGARIA,Europe,Eastern Europe,2018/08/31,96
2018,BULGARIA,Europe,Eastern Europe,2018/09/30,93
2018,BULGARIA,Europe,Eastern Europe,2018/10/31,135
2018,BULGARIA,Europe,Eastern Europe,2018/11/30,223
2018,BULGARIA,Europe,Eastern Europe,2018/12/31,607
2018,BURKINA FASO,Africa,West Africa,2018/01/31,2
2018,BURKINA FASO,Africa,West Africa,2018/02/28,1
2018,BURKINA FASO,Africa,West Africa,2018/03/31,0
2018,BURKINA FASO,Africa,West Africa,2018/04/30,4
2018,BURKINA FASO,Africa,West Africa,2018/05/31,1
2018,BURKINA FASO,Africa,West Africa,2018/06/30,0
2018,BURKINA FASO,Africa,West Africa,2018/07/31,1
2018,BURKINA FASO,Africa,West Africa,2018/08/31,1
2018,BURKINA FASO,Africa,West Africa,2018/09/30,3
2018,BURKINA FASO,Africa,West Africa,2018/10/31,2
2018,BURKINA FASO,Africa,West Africa,2018/11/30,0
2018,BURKINA FASO,Africa,West Africa,2018/12/31,4
2018,BURUNDI,Africa,East Africa,2018/01/31,1
2018,BURUNDI,Africa,East Africa,2018/02/28,0
2018,BURUNDI,Africa,East Africa,2018/03/31,0
2018,BURUNDI,Africa,East Africa,2018/04/30,0
2018,BURUNDI,Africa,East Africa,2018/05/31,0
2018,BURUNDI,Africa,East Africa,2018/06/30,0
2018,BURUNDI,Africa,East Africa,2018/07/31,1
